respondent_id,timestamp,j_position,j_abbr,j_full_name,d20_n_papers,d20_n_first_author,d20_year_first,d20_total_citations,d20_avg_cit,d20_avg_age_of_papers
131,2023-12-28T09:46:11Z,3,dr,Demographic Research,5,3,2015,28,5.6,5.6
131,2023-12-28T09:46:11Z,4,p,Population,5,3,2015,28,5.6,5.6
131,2023-12-28T09:46:11Z,5,ps,Population Studies,5,3,2015,28,5.6,5.6
131,2023-12-28T09:46:11Z,6,psp,"Population, Space and Place",5,3,2015,28,5.6,5.6
131,2023-12-28T09:46:11Z,7,q,Quetelet,5,3,2015,28,5.6,5.6
277,2023-12-28T09:48:34Z,1,pdr,Population and Development Review,6,5,2014,137,22.833333333333332,5.166666666666667
277,2023-12-28T09:48:34Z,2,d,Demography,6,5,2014,137,22.833333333333332,5.166666666666667
277,2023-12-28T09:48:34Z,3,dr,Demographic Research,6,5,2014,137,22.833333333333332,5.166666666666667
277,2023-12-28T09:48:34Z,4,ejp,European Journal of Population,6,5,2014,137,22.833333333333332,5.166666666666667
277,2023-12-28T09:48:34Z,5,psp,"Population, Space and Place",6,5,2014,137,22.833333333333332,5.166666666666667
277,2023-12-28T09:48:34Z,6,g,Genus,6,5,2014,137,22.833333333333332,5.166666666666667
277,2023-12-28T09:48:34Z,7,imr,international migration review,6,5,2014,137,22.833333333333332,5.166666666666667
252,2023-12-28T09:51:19Z,1,pdr,Population and Development Review,8,5,2014,103,12.875,3.875
252,2023-12-28T09:51:19Z,2,d,Demography,8,5,2014,103,12.875,3.875
252,2023-12-28T09:51:19Z,3,ps,Population Studies,8,5,2014,103,12.875,3.875
252,2023-12-28T09:51:19Z,4,ejp,European Journal of Population,8,5,2014,103,12.875,3.875
252,2023-12-28T09:51:19Z,5,dr,Demographic Research,8,5,2014,103,12.875,3.875
252,2023-12-28T09:51:19Z,6,psp,"Population, Space and Place",8,5,2014,103,12.875,3.875
252,2023-12-28T09:51:19Z,7,prpr,Population Research and Policy Review,8,5,2014,103,12.875,3.875
142,2023-12-28T09:57:14Z,1,d,Demography,36,6,2014,748,20.77777777777778,3.8055555555555554
142,2023-12-28T09:57:14Z,2,pdr,Population and Development Review,36,6,2014,748,20.77777777777778,3.8055555555555554
142,2023-12-28T09:57:14Z,3,ejp,European Journal of Population,36,6,2014,748,20.77777777777778,3.8055555555555554
142,2023-12-28T09:57:14Z,4,esr,European Sociological Review,36,6,2014,748,20.77777777777778,3.8055555555555554
142,2023-12-28T09:57:14Z,5,g,Genus,36,6,2014,748,20.77777777777778,3.8055555555555554
142,2023-12-28T09:57:14Z,6,alcr,Advances in Life Course Research,36,6,2014,748,20.77777777777778,3.8055555555555554
142,2023-12-28T09:57:14Z,7,dr,Demographic Research,36,6,2014,748,20.77777777777778,3.8055555555555554
192,2023-12-28T10:01:34Z,1,d,Demography,8,3,2016,183,22.875,2.375
192,2023-12-28T10:01:34Z,2,pdr,Population and Development Review,8,3,2016,183,22.875,2.375
192,2023-12-28T10:01:34Z,3,ps,Population Studies,8,3,2016,183,22.875,2.375
192,2023-12-28T10:01:34Z,4,dr,Demographic Research,8,3,2016,183,22.875,2.375
192,2023-12-28T10:01:34Z,5,ejp,European Journal of Population,8,3,2016,183,22.875,2.375
192,2023-12-28T10:01:34Z,6,p,Population,8,3,2016,183,22.875,2.375
192,2023-12-28T10:01:34Z,7,prpr,Population Research and Policy Review,8,3,2016,183,22.875,2.375
145,2023-12-28T10:04:52Z,1,d,Demography,4,3,2014,20,5,2.75
145,2023-12-28T10:04:52Z,2,pdr,Population and Development Review,4,3,2014,20,5,2.75
145,2023-12-28T10:04:52Z,3,jmf,Journal of Marriage and Family,4,3,2014,20,5,2.75
145,2023-12-28T10:04:52Z,4,ps,Population Studies,4,3,2014,20,5,2.75
145,2023-12-28T10:04:52Z,5,ejp,European Journal of Population,4,3,2014,20,5,2.75
145,2023-12-28T10:04:52Z,6,dr,Demographic Research,4,3,2014,20,5,2.75
145,2023-12-28T10:04:52Z,7,prpr,Population Research and Policy Review,4,3,2014,20,5,2.75
247,2023-12-28T10:13:12Z,1,psp,"Population, Space and Place",2,1,2021,4,2,1
247,2023-12-28T10:13:12Z,2,scg,Social and Cultural Geography,2,1,2021,4,2,1
247,2023-12-28T10:13:12Z,3,cms,Comparative Migration Studies,2,1,2021,4,2,1
247,2023-12-28T10:13:12Z,4,njmr,Nordic Journal of Migration Research,2,1,2021,4,2,1
247,2023-12-28T10:13:12Z,5,jpe,Journal of Population Economics,2,1,2021,4,2,1
247,2023-12-28T10:13:12Z,6,imr,international migration review,2,1,2021,4,2,1
247,2023-12-28T10:13:12Z,7,jimi,Journal of International Migration and Integration,2,1,2021,4,2,1
189,2023-12-28T10:14:40Z,1,d,Demography,2,NA,2020,16,8,2.5
189,2023-12-28T10:14:40Z,2,pdr,Population and Development Review,2,NA,2020,16,8,2.5
189,2023-12-28T10:14:40Z,3,ps,Population Studies,2,NA,2020,16,8,2.5
189,2023-12-28T10:14:40Z,4,ejp,European Journal of Population,2,NA,2020,16,8,2.5
189,2023-12-28T10:14:40Z,5,dr,Demographic Research,2,NA,2020,16,8,2.5
189,2023-12-28T10:14:40Z,6,prpr,Population Research and Policy Review,2,NA,2020,16,8,2.5
189,2023-12-28T10:14:40Z,7,im,International Migration,2,NA,2020,16,8,2.5
215,2023-12-28T10:32:10Z,1,d,Demography,7,4,2019,44,6.285714285714286,2.142857142857143
215,2023-12-28T10:32:10Z,2,pdr,Population and Development Review,7,4,2019,44,6.285714285714286,2.142857142857143
215,2023-12-28T10:32:10Z,3,ps,Population Studies,7,4,2019,44,6.285714285714286,2.142857142857143
215,2023-12-28T10:32:10Z,4,dr,Demographic Research,7,4,2019,44,6.285714285714286,2.142857142857143
215,2023-12-28T10:32:10Z,5,jmf,Journal of Marriage and Family,7,4,2019,44,6.285714285714286,2.142857142857143
215,2023-12-28T10:32:10Z,6,ejp,European Journal of Population,7,4,2019,44,6.285714285714286,2.142857142857143
215,2023-12-28T10:32:10Z,7,psp,"Population, Space and Place",7,4,2019,44,6.285714285714286,2.142857142857143
97,2023-12-28T10:34:34Z,1,d,Demography,5,NA,2019,27,5.4,2
97,2023-12-28T10:34:34Z,2,pdr,Population and Development Review,5,NA,2019,27,5.4,2
97,2023-12-28T10:34:34Z,3,ps,Population Studies,5,NA,2019,27,5.4,2
97,2023-12-28T10:34:34Z,4,dr,Demographic Research,5,NA,2019,27,5.4,2
97,2023-12-28T10:34:34Z,5,prpr,Population Research and Policy Review,5,NA,2019,27,5.4,2
97,2023-12-28T10:34:34Z,6,q,Quetelet,5,NA,2019,27,5.4,2
97,2023-12-28T10:34:34Z,7,g,Genus,5,NA,2019,27,5.4,2
174,2023-12-28T10:37:27Z,1,jems,Journal of Ethnic and Migration Studies,3,1,2015,90,30,4.333333333333333
174,2023-12-28T10:37:27Z,2,dr,Demographic Research,3,1,2015,90,30,4.333333333333333
174,2023-12-28T10:37:27Z,3,d,Demography,3,1,2015,90,30,4.333333333333333
174,2023-12-28T10:37:27Z,4,pdr,Population and Development Review,3,1,2015,90,30,4.333333333333333
174,2023-12-28T10:37:27Z,5,imr,international migration review,3,1,2015,90,30,4.333333333333333
174,2023-12-28T10:37:27Z,6,psp,"Population, Space and Place",3,1,2015,90,30,4.333333333333333
248,2023-12-28T10:40:59Z,1,d,Demography,6,3,2015,43,7.166666666666667,3.3333333333333335
248,2023-12-28T10:40:59Z,2,pdr,Population and Development Review,6,3,2015,43,7.166666666666667,3.3333333333333335
248,2023-12-28T10:40:59Z,3,ps,Population Studies,6,3,2015,43,7.166666666666667,3.3333333333333335
248,2023-12-28T10:40:59Z,4,sfp,Studies in Family Planning,6,3,2015,43,7.166666666666667,3.3333333333333335
248,2023-12-28T10:40:59Z,5,dr,Demographic Research,6,3,2015,43,7.166666666666667,3.3333333333333335
248,2023-12-28T10:40:59Z,6,ejp,European Journal of Population,6,3,2015,43,7.166666666666667,3.3333333333333335
248,2023-12-28T10:40:59Z,7,p,Population,6,3,2015,43,7.166666666666667,3.3333333333333335
210,2023-12-28T10:46:33Z,1,d,Demography,12,2,2017,109,9.083333333333334,2.4166666666666665
210,2023-12-28T10:46:33Z,2,pdr,Population and Development Review,12,2,2017,109,9.083333333333334,2.4166666666666665
210,2023-12-28T10:46:33Z,3,ps,Population Studies,12,2,2017,109,9.083333333333334,2.4166666666666665
210,2023-12-28T10:46:33Z,4,ssm,Social Science and Medicine,12,2,2017,109,9.083333333333334,2.4166666666666665
210,2023-12-28T10:46:33Z,5,dr,Demographic Research,12,2,2017,109,9.083333333333334,2.4166666666666665
210,2023-12-28T10:46:33Z,6,ejp,European Journal of Population,12,2,2017,109,9.083333333333334,2.4166666666666665
210,2023-12-28T10:46:33Z,7,g,Genus,12,2,2017,109,9.083333333333334,2.4166666666666665
58,2023-12-28T10:46:59Z,1,d,Demography,10,NA,2007,213,21.3,7.1
58,2023-12-28T10:46:59Z,2,imr,international migration review,10,NA,2007,213,21.3,7.1
58,2023-12-28T10:46:59Z,3,ejp,European Journal of Population,10,NA,2007,213,21.3,7.1
58,2023-12-28T10:46:59Z,4,psp,"Population, Space and Place",10,NA,2007,213,21.3,7.1
58,2023-12-28T10:46:59Z,5,dr,Demographic Research,10,NA,2007,213,21.3,7.1
58,2023-12-28T10:46:59Z,6,jems,Journal of Ethnic and Migration Studies,10,NA,2007,213,21.3,7.1
58,2023-12-28T10:46:59Z,7,ps,Population Studies,10,NA,2007,213,21.3,7.1
171,2023-12-28T10:49:14Z,1,d,Demography,8,4,2014,102,12.75,5
171,2023-12-28T10:49:14Z,2,pdr,Population and Development Review,8,4,2014,102,12.75,5
171,2023-12-28T10:49:14Z,3,jmf,Journal of Marriage and Family,8,4,2014,102,12.75,5
171,2023-12-28T10:49:14Z,4,ps,Population Studies,8,4,2014,102,12.75,5
171,2023-12-28T10:49:14Z,5,dr,Demographic Research,8,4,2014,102,12.75,5
171,2023-12-28T10:49:14Z,6,ejp,European Journal of Population,8,4,2014,102,12.75,5
171,2023-12-28T10:49:14Z,7,psp,"Population, Space and Place",8,4,2014,102,12.75,5
334,2023-12-28T11:27:34Z,1,d,Demography,2,NA,2018,32,16,3.5
334,2023-12-28T11:27:34Z,2,dr,Demographic Research,2,NA,2018,32,16,3.5
334,2023-12-28T11:27:34Z,3,g,Genus,2,NA,2018,32,16,3.5
334,2023-12-28T11:27:34Z,4,pdr,Population and Development Review,2,NA,2018,32,16,3.5
334,2023-12-28T11:27:34Z,5,es,European Societies,2,NA,2018,32,16,3.5
334,2023-12-28T11:27:34Z,6,psp,"Population, Space and Place",2,NA,2018,32,16,3.5
334,2023-12-28T11:27:34Z,7,ps,Population Studies,2,NA,2018,32,16,3.5
116,2023-12-28T11:47:31Z,1,imr,international migration review,3,3,2019,163,54.333333333333336,2.3333333333333335
116,2023-12-28T11:47:31Z,2,jems,Journal of Ethnic and Migration Studies,3,3,2019,163,54.333333333333336,2.3333333333333335
116,2023-12-28T11:47:31Z,3,im,International Migration,3,3,2019,163,54.333333333333336,2.3333333333333335
116,2023-12-28T11:47:31Z,4,psp,"Population, Space and Place",3,3,2019,163,54.333333333333336,2.3333333333333335
116,2023-12-28T11:47:31Z,5,m,Mobilities,3,3,2019,163,54.333333333333336,2.3333333333333335
116,2023-12-28T11:47:31Z,6,ds,Diaspora Studies,3,3,2019,163,54.333333333333336,2.3333333333333335
116,2023-12-28T11:47:31Z,7,ms,Migration Studies,3,3,2019,163,54.333333333333336,2.3333333333333335
177,2023-12-28T11:51:02Z,1,d,Demography,2,1,2020,2,1,1.5
177,2023-12-28T11:51:02Z,2,pdr,Population and Development Review,2,1,2020,2,1,1.5
177,2023-12-28T11:51:02Z,3,alcr,Advances in Life Course Research,2,1,2020,2,1,1.5
177,2023-12-28T11:51:02Z,4,dr,Demographic Research,2,1,2020,2,1,1.5
177,2023-12-28T11:51:02Z,5,ejp,European Journal of Population,2,1,2020,2,1,1.5
177,2023-12-28T11:51:02Z,6,ps,Population Studies,2,1,2020,2,1,1.5
33,2023-12-28T11:56:04Z,1,dr,Demographic Research,5,1,2020,12,2.4,1.6
33,2023-12-28T11:56:04Z,2,ps,Population Studies,5,1,2020,12,2.4,1.6
33,2023-12-28T11:56:04Z,3,pdr,Population and Development Review,5,1,2020,12,2.4,1.6
33,2023-12-28T11:56:04Z,4,d,Demography,5,1,2020,12,2.4,1.6
33,2023-12-28T11:56:04Z,5,g,Genus,5,1,2020,12,2.4,1.6
33,2023-12-28T11:56:04Z,6,p,Population,5,1,2020,12,2.4,1.6
221,2023-12-28T12:03:59Z,1,d,Demography,3,1,2018,28,9.333333333333334,3
221,2023-12-28T12:03:59Z,2,pdr,Population and Development Review,3,1,2018,28,9.333333333333334,3
221,2023-12-28T12:03:59Z,3,dr,Demographic Research,3,1,2018,28,9.333333333333334,3
221,2023-12-28T12:03:59Z,4,im,International Migration,3,1,2018,28,9.333333333333334,3
221,2023-12-28T12:03:59Z,5,psp,"Population, Space and Place",3,1,2018,28,9.333333333333334,3
221,2023-12-28T12:03:59Z,6,jmf,Journal of Marriage and Family,3,1,2018,28,9.333333333333334,3
221,2023-12-28T12:03:59Z,7,jpe,Journal of Population Economics,3,1,2018,28,9.333333333333334,3
132,2023-12-28T12:41:49Z,1,d,Demography,8,2,2014,121,15.125,3.25
132,2023-12-28T12:41:49Z,2,ejp,European Journal of Population,8,2,2014,121,15.125,3.25
132,2023-12-28T12:41:49Z,3,dr,Demographic Research,8,2,2014,121,15.125,3.25
132,2023-12-28T12:41:49Z,4,ps,Population Studies,8,2,2014,121,15.125,3.25
132,2023-12-28T12:41:49Z,5,jmf,Journal of Marriage and Family,8,2,2014,121,15.125,3.25
132,2023-12-28T12:41:49Z,6,jfi,Journal of Family Issues,8,2,2014,121,15.125,3.25
132,2023-12-28T12:41:49Z,7,g,Genus,8,2,2014,121,15.125,3.25
268,2023-12-28T12:50:56Z,1,d,Demography,7,NA,2015,63,9,4.857142857142857
268,2023-12-28T12:50:56Z,2,pdr,Population and Development Review,7,NA,2015,63,9,4.857142857142857
268,2023-12-28T12:50:56Z,3,dr,Demographic Research,7,NA,2015,63,9,4.857142857142857
268,2023-12-28T12:50:56Z,4,ps,Population Studies,7,NA,2015,63,9,4.857142857142857
268,2023-12-28T12:50:56Z,5,g,Genus,7,NA,2015,63,9,4.857142857142857
268,2023-12-28T12:50:56Z,6,ejp,European Journal of Population,7,NA,2015,63,9,4.857142857142857
268,2023-12-28T12:50:56Z,7,psp,"Population, Space and Place",7,NA,2015,63,9,4.857142857142857
281,2023-12-28T12:52:13Z,1,dr,Demographic Research,8,4,2015,110,13.75,3.25
281,2023-12-28T12:52:13Z,2,d,Demography,8,4,2015,110,13.75,3.25
281,2023-12-28T12:52:13Z,3,pdr,Population and Development Review,8,4,2015,110,13.75,3.25
281,2023-12-28T12:52:13Z,4,ssm,Social Science and Medicine,8,4,2015,110,13.75,3.25
281,2023-12-28T12:52:13Z,5,jde,Journal of Demographic Economics,8,4,2015,110,13.75,3.25
281,2023-12-28T12:52:13Z,6,p,Population,8,4,2015,110,13.75,3.25
281,2023-12-28T12:52:13Z,7,ps,Population Studies,8,4,2015,110,13.75,3.25
239,2023-12-28T13:46:03Z,1,d,Demography,4,NA,2020,25,6.25,2.25
239,2023-12-28T13:46:03Z,2,ps,Population Studies,4,NA,2020,25,6.25,2.25
239,2023-12-28T13:46:03Z,3,psp,"Population, Space and Place",4,NA,2020,25,6.25,2.25
239,2023-12-28T13:46:03Z,4,pdr,Population and Development Review,4,NA,2020,25,6.25,2.25
239,2023-12-28T13:46:03Z,5,dr,Demographic Research,4,NA,2020,25,6.25,2.25
239,2023-12-28T13:46:03Z,6,pe,Population and Environment,4,NA,2020,25,6.25,2.25
239,2023-12-28T13:46:03Z,7,prpr,Population Research and Policy Review,4,NA,2020,25,6.25,2.25
25,2023-12-28T13:56:14Z,1,d,Demography,8,NA,2007,75,9.375,6.75
25,2023-12-28T13:56:14Z,2,pdr,Population and Development Review,8,NA,2007,75,9.375,6.75
25,2023-12-28T13:56:14Z,3,dr,Demographic Research,8,NA,2007,75,9.375,6.75
25,2023-12-28T13:56:14Z,4,ejp,European Journal of Population,8,NA,2007,75,9.375,6.75
25,2023-12-28T13:56:14Z,5,g,Genus,8,NA,2007,75,9.375,6.75
25,2023-12-28T13:56:14Z,6,ps,Population Studies,8,NA,2007,75,9.375,6.75
25,2023-12-28T13:56:14Z,7,imr,international migration review,8,NA,2007,75,9.375,6.75
292,2023-12-28T14:24:34Z,1,d,Demography,NA,NA,NA,NA,NA,NA
292,2023-12-28T14:24:34Z,2,dr,Demographic Research,NA,NA,NA,NA,NA,NA
292,2023-12-28T14:24:34Z,3,ejp,European Journal of Population,NA,NA,NA,NA,NA,NA
292,2023-12-28T14:24:34Z,4,imr,international migration review,NA,NA,NA,NA,NA,NA
292,2023-12-28T14:24:34Z,5,g,Genus,NA,NA,NA,NA,NA,NA
292,2023-12-28T14:24:34Z,6,pr,Population Review,NA,NA,NA,NA,NA,NA
292,2023-12-28T14:24:34Z,7,jpe,Journal of Population Economics,NA,NA,NA,NA,NA,NA
121,2023-12-28T14:28:38Z,1,pdr,Population and Development Review,13,10,2014,89,6.846153846153846,6.538461538461538
121,2023-12-28T14:28:38Z,2,d,Demography,13,10,2014,89,6.846153846153846,6.538461538461538
121,2023-12-28T14:28:38Z,3,ps,Population Studies,13,10,2014,89,6.846153846153846,6.538461538461538
121,2023-12-28T14:28:38Z,4,dr,Demographic Research,13,10,2014,89,6.846153846153846,6.538461538461538
121,2023-12-28T14:28:38Z,5,p,Population,13,10,2014,89,6.846153846153846,6.538461538461538
121,2023-12-28T14:28:38Z,6,ejp,European Journal of Population,13,10,2014,89,6.846153846153846,6.538461538461538
121,2023-12-28T14:28:38Z,7,aps,Asian Population Studies,13,10,2014,89,6.846153846153846,6.538461538461538
166,2023-12-28T14:29:27Z,1,d,Demography,2,1,2016,67,33.5,5
166,2023-12-28T14:29:27Z,2,pdr,Population and Development Review,2,1,2016,67,33.5,5
166,2023-12-28T14:29:27Z,3,ejp,European Journal of Population,2,1,2016,67,33.5,5
166,2023-12-28T14:29:27Z,4,dr,Demographic Research,2,1,2016,67,33.5,5
166,2023-12-28T14:29:27Z,5,ps,Population Studies,2,1,2016,67,33.5,5
166,2023-12-28T14:29:27Z,6,p,Population,2,1,2016,67,33.5,5
166,2023-12-28T14:29:27Z,7,g,Genus,2,1,2016,67,33.5,5
387,2023-12-28T14:31:34Z,1,pdr,Population and Development Review,14,8,2019,121,8.642857142857142,1.7857142857142858
387,2023-12-28T14:31:34Z,2,d,Demography,14,8,2019,121,8.642857142857142,1.7857142857142858
387,2023-12-28T14:31:34Z,3,ps,Population Studies,14,8,2019,121,8.642857142857142,1.7857142857142858
387,2023-12-28T14:31:34Z,4,jmf,Journal of Marriage and Family,14,8,2019,121,8.642857142857142,1.7857142857142858
387,2023-12-28T14:31:34Z,5,ejp,European Journal of Population,14,8,2019,121,8.642857142857142,1.7857142857142858
387,2023-12-28T14:31:34Z,6,dr,Demographic Research,14,8,2019,121,8.642857142857142,1.7857142857142858
387,2023-12-28T14:31:34Z,7,psp,"Population, Space and Place",14,8,2019,121,8.642857142857142,1.7857142857142858
72,2023-12-28T14:32:11Z,1,g,Genus,4,NA,2001,24,6,6.5
72,2023-12-28T14:32:11Z,2,imr,international migration review,4,NA,2001,24,6,6.5
72,2023-12-28T14:32:11Z,3,im,International Migration,4,NA,2001,24,6,6.5
72,2023-12-28T14:32:11Z,4,d,Demography,4,NA,2001,24,6,6.5
72,2023-12-28T14:32:11Z,5,jems,Journal of Ethnic and Migration Studies,4,NA,2001,24,6,6.5
72,2023-12-28T14:32:11Z,6,ps,Population Studies,4,NA,2001,24,6,6.5
72,2023-12-28T14:32:11Z,7,ejp,European Journal of Population,4,NA,2001,24,6,6.5
112,2023-12-28T15:00:59Z,1,d,Demography,7,4,2016,35,5,3
112,2023-12-28T15:00:59Z,2,dr,Demographic Research,7,4,2016,35,5,3
112,2023-12-28T15:00:59Z,3,pdr,Population and Development Review,7,4,2016,35,5,3
112,2023-12-28T15:00:59Z,4,alcr,Advances in Life Course Research,7,4,2016,35,5,3
112,2023-12-28T15:00:59Z,5,jpe,Journal of Population Economics,7,4,2016,35,5,3
112,2023-12-28T15:00:59Z,6,ps,Population Studies,7,4,2016,35,5,3
112,2023-12-28T15:00:59Z,7,g,Genus,7,4,2016,35,5,3
225,2023-12-28T15:26:40Z,1,d,Demography,6,4,2015,231,38.5,5
225,2023-12-28T15:26:40Z,2,prpr,Population Research and Policy Review,6,4,2015,231,38.5,5
225,2023-12-28T15:26:40Z,3,dr,Demographic Research,6,4,2015,231,38.5,5
225,2023-12-28T15:26:40Z,4,pdr,Population and Development Review,6,4,2015,231,38.5,5
225,2023-12-28T15:26:40Z,5,ps,Population Studies,6,4,2015,231,38.5,5
225,2023-12-28T15:26:40Z,6,sh,SSM-Population Health,6,4,2015,231,38.5,5
225,2023-12-28T15:26:40Z,7,bsb,Biodemography and Social Biology,6,4,2015,231,38.5,5
199,2023-12-28T16:21:53Z,1,pdr,Population and Development Review,15,8,2014,436,29.066666666666663,4.6
199,2023-12-28T16:21:53Z,2,d,Demography,15,8,2014,436,29.066666666666663,4.6
199,2023-12-28T16:21:53Z,3,prpr,Population Research and Policy Review,15,8,2014,436,29.066666666666663,4.6
199,2023-12-28T16:21:53Z,4,dr,Demographic Research,15,8,2014,436,29.066666666666663,4.6
199,2023-12-28T16:21:53Z,5,jg,Journal of Gerontology Social Sciences,15,8,2014,436,29.066666666666663,4.6
199,2023-12-28T16:21:53Z,6,ps,Population Studies,15,8,2014,436,29.066666666666663,4.6
224,2023-12-28T17:02:04Z,1,d,Demography,2,NA,2017,4,2,3
224,2023-12-28T17:02:04Z,2,pdr,Population and Development Review,2,NA,2017,4,2,3
224,2023-12-28T17:02:04Z,3,dr,Demographic Research,2,NA,2017,4,2,3
224,2023-12-28T17:02:04Z,4,e,Epidemiology,2,NA,2017,4,2,3
224,2023-12-28T17:02:04Z,5,ssm,Social Science and Medicine,2,NA,2017,4,2,3
224,2023-12-28T17:02:04Z,6,ejp,European Journal of Population,2,NA,2017,4,2,3
224,2023-12-28T17:02:04Z,7,ps,Population Studies,2,NA,2017,4,2,3
244,2023-12-28T17:09:58Z,1,d,Demography,6,5,2014,76,12.666666666666666,4.666666666666667
244,2023-12-28T17:09:58Z,2,pdr,Population and Development Review,6,5,2014,76,12.666666666666666,4.666666666666667
244,2023-12-28T17:09:58Z,3,ps,Population Studies,6,5,2014,76,12.666666666666666,4.666666666666667
244,2023-12-28T17:09:58Z,4,dr,Demographic Research,6,5,2014,76,12.666666666666666,4.666666666666667
244,2023-12-28T17:09:58Z,5,bsb,Biodemography and Social Biology,6,5,2014,76,12.666666666666666,4.666666666666667
244,2023-12-28T17:09:58Z,6,prpr,Population Research and Policy Review,6,5,2014,76,12.666666666666666,4.666666666666667
244,2023-12-28T17:09:58Z,7,ejp,European Journal of Population,6,5,2014,76,12.666666666666666,4.666666666666667
260,2023-12-28T17:12:31Z,1,d,Demography,3,1,2017,35,11.666666666666666,3.6666666666666665
182,2023-12-28T17:31:57Z,1,pdr,Population and Development Review,11,5,2014,212,19.272727272727273,2.4545454545454546
182,2023-12-28T17:31:57Z,2,d,Demography,11,5,2014,212,19.272727272727273,2.4545454545454546
182,2023-12-28T17:31:57Z,3,dr,Demographic Research,11,5,2014,212,19.272727272727273,2.4545454545454546
182,2023-12-28T17:31:57Z,4,ps,Population Studies,11,5,2014,212,19.272727272727273,2.4545454545454546
182,2023-12-28T17:31:57Z,5,ejp,European Journal of Population,11,5,2014,212,19.272727272727273,2.4545454545454546
182,2023-12-28T17:31:57Z,6,p,Population,11,5,2014,212,19.272727272727273,2.4545454545454546
182,2023-12-28T17:31:57Z,7,imr,international migration review,11,5,2014,212,19.272727272727273,2.4545454545454546
106,2023-12-28T17:38:41Z,1,pdr,Population and Development Review,8,2,2018,177,22.125,3.5
106,2023-12-28T17:38:41Z,2,d,Demography,8,2,2018,177,22.125,3.5
106,2023-12-28T17:38:41Z,3,ejp,European Journal of Population,8,2,2018,177,22.125,3.5
106,2023-12-28T17:38:41Z,4,p,Population,8,2,2018,177,22.125,3.5
106,2023-12-28T17:38:41Z,5,dr,Demographic Research,8,2,2018,177,22.125,3.5
106,2023-12-28T17:38:41Z,6,hf,History of the Family,8,2,2018,177,22.125,3.5
106,2023-12-28T17:38:41Z,7,psp,"Population, Space and Place",8,2,2018,177,22.125,3.5
126,2023-12-28T20:14:50Z,1,d,Demography,10,9,2015,178,17.8,4.7
126,2023-12-28T20:14:50Z,2,pdr,Population and Development Review,10,9,2015,178,17.8,4.7
126,2023-12-28T20:14:50Z,3,ps,Population Studies,10,9,2015,178,17.8,4.7
126,2023-12-28T20:14:50Z,4,dr,Demographic Research,10,9,2015,178,17.8,4.7
126,2023-12-28T20:14:50Z,5,ejp,European Journal of Population,10,9,2015,178,17.8,4.7
126,2023-12-28T20:14:50Z,6,prpr,Population Research and Policy Review,10,9,2015,178,17.8,4.7
46,2023-12-28T20:48:59Z,1,pnas,Proceedings of the National Academy of Sciences,10,NA,1997,361,36.1,12.3
46,2023-12-28T20:48:59Z,2,dr,Demographic Research,10,NA,1997,361,36.1,12.3
46,2023-12-28T20:48:59Z,3,pdr,Population and Development Review,10,NA,1997,361,36.1,12.3
46,2023-12-28T20:48:59Z,4,d,Demography,10,NA,1997,361,36.1,12.3
